title,type,filename,modulename
Party wise vote share,Chart,voteShareChart.R,voteShareChart
Party wise seat share,Chart,seatShareChart.R,seatShareChart
Voter Turnout Timeline,Chart,voterTurnoutChart.R,voterTurnoutChart
Candidates who saved their deposits,Chart,contestedDepositSavedChart.R,contestedDepositSavedChart
Parties contested and represented,Chart,partiesPresentedChart.R,partiesPresentedChart
Gender wise party winners,Map,winnerGenderMap.R,winnerGenderMap
Constituency wise party winners,Map,winnerMap.R,winnerMap
Vote share of party winners,Map,winnerVoteShareMap.R,winnerVoteShareMap
Winning margin of party winners,Map,winnerMarginMap.R,winnerMarginMap
Number of candidates,Map,numCandidatesMap.R,numCandidatesMap
Nota Turnout,Map,notaTurnoutMap.R,notaTurnoutMap
Party wise positions,Map,partyPositionsMap.R,partyPositionsMap
Voter Turnout,Map,voterTurnoutMap.R,voterTurnoutMap
Constituency type wise winners,Map,winnerCasteMap.R,winnerCasteMap
