"state","year","party","votes"
"Jharkhand",2005,"JD(U)","4.04"
"Jharkhand",2009,"JD(U)","2.78"
"Jharkhand",2014,"JD(U)","0.96"
"Jharkhand",2005,"INC","11.95"
"Jharkhand",2009,"INC","16.16"
"Jharkhand",2014,"INC","10.46"
"Jharkhand",2005,"BJP","23.81"
"Jharkhand",2009,"BJP","20.18"
"Jharkhand",2014,"BJP","31.26"
"Jharkhand",2005,"RJD","8.57"
"Jharkhand",2009,"RJD","5.03"
"Jharkhand",2014,"RJD","3.13"
"Jharkhand",2005,"IND","15.34"
"Jharkhand",2009,"IND","10.6"
"Jharkhand",2014,"IND","6.69"
"Jharkhand",2005,"JMM","13.85"
"Jharkhand",2009,"JMM","15.2"
"Jharkhand",2014,"JMM","20.43"
"Jharkhand",2009,"AJSUP","5.12"
"Jharkhand",2014,"AJSUP","3.68"
"Jharkhand",2009,"JVM","8.99"
"Jharkhand",2014,"JVM","9.99"
"Nagaland",1964,"IND","100"
"Nagaland",1969,"IND","39.58"
"Nagaland",1974,"IND","34.28"
"Nagaland",1977,"IND","28.74"
"Nagaland",1982,"IND","35.91"
"Nagaland",1987,"IND","20.61"
"Nagaland",1989,"IND","4.18"
"Nagaland",1993,"IND","20.29"
"Nagaland",1998,"IND","49.27"
"Nagaland",2003,"IND","4.42"
"Nagaland",2008,"IND","13.09"
"Nagaland",2013,"IND","17.75"
"Nagaland",1969,"NNO","38.66"
"Nagaland",1974,"NNO","35.71"
"Nagaland",1969,"UFN","21.76"
"Nagaland",1974,"UDF","30.01"
"Nagaland",1977,"UDF","39.21"
"Nagaland",1977,"INC","20.19"
"Nagaland",1982,"INC","32.08"
"Nagaland",1987,"INC","39.84"
"Nagaland",1989,"INC","51.45"
"Nagaland",1993,"INC","46.02"
"Nagaland",1998,"INC","50.73"
"Nagaland",2003,"INC","35.86"
"Nagaland",2008,"INC","36.28"
"Nagaland",2013,"INC","24.89"
"Nagaland",1977,"NCN","11.85"
"Nagaland",1982,"NND","32.01"
"Nagaland",1987,"NND","30.33"
"Nagaland",1987,"BJP","0.19"
"Nagaland",1993,"BJP","0.35"
"Nagaland",2003,"BJP","10.88"
"Nagaland",2008,"BJP","5.35"
"Nagaland",2013,"BJP","1.75"
"Nagaland",1987,"NPP","9.03"
"Nagaland",1989,"NPP","2.76"
"Nagaland",1989,"NPC","41.61"
"Nagaland",1993,"NPC","32.82"
"Nagaland",1993,"DLP","0.51"
"Nagaland",2003,"NPF","29.76"
"Nagaland",2008,"NPF","33.62"
"Nagaland",2013,"NPF","47.04"
"Nagaland",2003,"NDM","9.53"
"Nagaland",2003,"JD(U)","5.8"
"Nagaland",2008,"JD(U)","0.29"
"Nagaland",2013,"JD(U)","1.65"
"Nagaland",2003,"NCP","1.99"
"Nagaland",2008,"NCP","4.01"
"Nagaland",2013,"NCP","6.05"
"Nagaland",2008,"RJD","6.56"
"Nagaland",2013,"RJD","0.5"
"Goa,_Daman_&_Diu",1967,"MAG","40.45"
"Goa,_Daman_&_Diu",1972,"MAG","38.3"
"Goa,_Daman_&_Diu",1977,"MAG","38.49"
"Goa,_Daman_&_Diu",1980,"MAG","36.39"
"Goa,_Daman_&_Diu",1984,"MAG","21.12"
"Goa,_Daman_&_Diu",1967,"IND","17.57"
"Goa,_Daman_&_Diu",1972,"IND","9.46"
"Goa,_Daman_&_Diu",1977,"IND","9.27"
"Goa,_Daman_&_Diu",1980,"IND","15.59"
"Goa,_Daman_&_Diu",1984,"IND","36.89"
"Goa,_Daman_&_Diu",1967,"UGF","2.87"
"Goa,_Daman_&_Diu",1967,"UGS","38.01"
"Goa,_Daman_&_Diu",1972,"UGS","32.5"
"Goa,_Daman_&_Diu",1967,"PSP","1.1"
"Goa,_Daman_&_Diu",1972,"NMG","3.69"
"Goa,_Daman_&_Diu",1972,"INC","13.64"
"Goa,_Daman_&_Diu",1977,"INC","28.94"
"Goa,_Daman_&_Diu",1984,"INC","39.48"
"Goa,_Daman_&_Diu",1972,"SOP","1.17"
"Goa,_Daman_&_Diu",1972,"CPI","0.14"
"Goa,_Daman_&_Diu",1977,"CPI","0.2"
"Goa,_Daman_&_Diu",1984,"CPI","0.38"
"Goa,_Daman_&_Diu",1977,"JNP","23.1"
"Goa,_Daman_&_Diu",1980,"JNP","4.11"
"Goa,_Daman_&_Diu",1984,"JNP","0.74"
"Goa,_Daman_&_Diu",1980,"JNP(S)","1.72"
"Goa,_Daman_&_Diu",1980,"INC(I)","3.52"
"Goa,_Daman_&_Diu",1980,"INC(U)","38.36"
"Goa,_Daman_&_Diu",1984,"BJP","1.21"
"Assam",1962,"HLC","5.51"
"Assam",1962,"PSP","12.69"
"Assam",1967,"PSP","6.86"
"Assam",1962,"INC","48.25"
"Assam",1967,"INC","43.6"
"Assam",1972,"INC","53.2"
"Assam",1978,"INC","23.62"
"Assam",1983,"INC","52.53"
"Assam",1985,"INC","23.23"
"Assam",1991,"INC","29.35"
"Assam",1996,"INC","30.56"
"Assam",2001,"INC","39.76"
"Assam",2006,"INC","31.87"
"Assam",2011,"INC","39.39"
"Assam",2016,"INC","30.96"
"Assam",1962,"CPI","6.39"
"Assam",1967,"CPI","5.15"
"Assam",1972,"CPI","5.64"
"Assam",1978,"CPI","4.09"
"Assam",1983,"CPI","2.58"
"Assam",1985,"CPI","1.21"
"Assam",1991,"CPI","2.47"
"Assam",1996,"CPI","1.95"
"Assam",2001,"CPI","1.1"
"Assam",2006,"CPI","1.1"
"Assam",2011,"CPI","0.52"
"Assam",2016,"CPI","0.22"
"Assam",1962,"IND","23.81"
"Assam",1967,"IND","32.33"
"Assam",1972,"IND","29.75"
"Assam",1978,"IND","25.67"
"Assam",1983,"IND","29.02"
"Assam",1985,"IND","61.5"
"Assam",1991,"IND","21.41"
"Assam",1996,"IND","17.42"
"Assam",2001,"IND","19.51"
"Assam",2006,"IND","14.57"
"Assam",2011,"IND","9.17"
"Assam",2016,"IND","11.04"
"Assam",1962,"SOC","1.5"
"Assam",1967,"SSP","3.28"
"Assam",1967,"AHL","3.49"
"Assam",1972,"PTC","1.67"
"Assam",1978,"PTC","2.6"
"Assam",1983,"PTC","4.66"
"Assam",1985,"PTC","3.62"
"Assam",1972,"SOP","5.77"
"Assam",1967,"CPM","1.97"
"Assam",1972,"CPM","2.59"
"Assam",1978,"CPM","5.62"
"Assam",1983,"CPM","5.14"
"Assam",1985,"CPM","4.48"
"Assam",1991,"CPM","3.85"
"Assam",1996,"CPM","1.94"
"Assam",2001,"CPM","1.78"
"Assam",2011,"CPM","1.13"
"Assam",2016,"CPM","0.55"
"Assam",1978,"JNP","27.55"
"Assam",1985,"JNP","1.44"
"Assam",1978,"INC(I)","8.78"
"Assam",1983,"ICS","6.05"
"Assam",1985,"ICS","3.17"
"Assam",1996,"ICS","0.14"
"Assam",1991,"AGP","17.93"
"Assam",1996,"AGP","29.71"
"Assam",2001,"AGP","20.02"
"Assam",2006,"AGP","20.29"
"Assam",2011,"AGP","16.29"
"Assam",2016,"AGP","8.14"
"Assam",1991,"NAGP","5.45"
"Assam",1991,"JD","4.77"
"Assam",1996,"JD","0.58"
"Assam",1985,"BJP","1.07"
"Assam",1991,"BJP","6.55"
"Assam",1996,"BJP","10.41"
"Assam",2001,"BJP","9.35"
"Assam",2006,"BJP","12.41"
"Assam",2011,"BJP","11.47"
"Assam",2016,"BJP","29.51"
"Assam",1996,"AIIC(T)","3.71"
"Assam",1996,"ASDC","1.98"
"Assam",2006,"ASDC","0.97"
