title,type,filename,modulename
Chart: Voter Turnout,Chart,gevoterTurnoutChart.R,gevoterTurnoutChart
Chart: Party vote share (contested),Chart,gevoteShareChart_c.R,gevoteShareChart_c
Chart: Party vote share (all seats),Chart,gevoteShareChart_t.R,gevoteShareChart_t
Chart: Party seat share,Chart,geseatShareChart.R,geseatShareChart
Chart: Parties contested and represented,Chart,gepartiesPresentedChart.R,gepartiesPresentedChart
Chart: Candidates contested /deposit Lost,Chart,gecontestedDepositSavedChart.R,gecontestedDepositSavedChart
Map: Constituency type ,Map,constituencyTypeMap.R,constituencyTypeMap
Map: Number of candidates,Map,genumCandidatesMap.R,genumCandidatesMap
Map: Voter Turnout,Map,voterTurnoutMap.R,voterTurnoutMap
Map: Winners by Party,Map,gewinnerMap.R,gewinnerMap
Map: Winners by Gender,Map,winnerGenderMap.R,winnerGenderMap
Map: Victory Margin,Map,winnerMarginMap.R,winnerMarginMap
Map: Vote share of winners,Map,winnerVoteShareMap.R,winnerVoteShareMap
Map: Party-wise positions,Map,partyPositionsMap.R,partyPositionsMap
Map: Party-wise Voteshare, Map,partyVoteShareMap.R,partyVoteShareMap
Map: NOTA Vote,Map,genotaTurnoutMap.R,genotaTurnoutMap
