pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA10002,7,0,1980,N. HUTCHAMASTHY GOWDA,Karnataka,TUMKUR,INC(U),"",53285,M,3,1,0,FALSE,FALSE,12.15,44881,10.23,,,1
AEKA10521,7,0,1980,M. RAJASHEKARAMURTHY,Karnataka,MYSORE,INC(I),"",195724,M,1,1,1,FALSE,FALSE,49.46,83036,20.99,,1,1
AEKA11029,7,0,1980,APPAYYAPPA KARAVIRAPPA KOTRASHETTI,Karnataka,BELGAUM,INC(U),INC,62805,M,3,3,2,TRUE,TRUE,15.1,21723,5.22,,2,3
AEKA11029,6,0,1977,KOTRASHETTI APPAYAPPA KARAVEERAPPA,Karnataka,BELGAUM,INC,INC,178331,M,1,3,2,FALSE,TRUE,55.95,64002,20.08,,2,3
AEKA11029,5,0,1971,KOTRASETTI APPAYA KARAVIRAPPA,Mysore,BELGAUM,INC,"",164979,M,1,3,2,FALSE,FALSE,61.53,77176,28.78,,2,3
AEKA13894,7,0,1980,T. CHANNAIAH,Karnataka,KOLAR,JNP,"",84729,M,2,1,0,FALSE,FALSE,23.34,9628,2.65,,,1
AEKA13895,7,0,1980,M. NARAYANA,Karnataka,KOLAR,INC(U),"",75101,M,3,1,0,FALSE,FALSE,20.68,67311,18.54,,,1
AEKA14215,7,0,1980,B.A. MOHIDEEN,Karnataka,MANGALORE,INC(U),"",36628,M,3,1,0,FALSE,FALSE,8.22,13009,2.92,,,1
AEKA14281,7,0,1980,D.H. SHANKARA MURTHY,Karnataka,SHIMOGA,JNP,"",94530,M,2,1,0,FALSE,FALSE,21.79,16482,3.8,,,1
AEKA14325,7,0,1980,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC(I),"",208269,M,1,1,1,FALSE,FALSE,58.19,96694,27.01,,1,1
AEKA14608,7,0,1980,DHARAMSINGH,Karnataka,GULBARGA,INC(I),"",174398,M,1,1,1,FALSE,FALSE,56.2,117976,38.01,,1,1
AEKA14609,7,1,1980,B.R.GOUDA,Karnataka,GULBARGA,INC(I),"",76985,"",2,1,0,FALSE,FALSE,31.85,72761,30.1,,,1
AEKA1538,7,0,1980,DESHPANDE RAGHUNATH VISHWANATHRAO,Karnataka,KANARA,JNP,"",123731,M,2,1,0,FALSE,FALSE,29.83,77182,18.61,,,1
AEKA1947,7,0,1980,SHAMANUR SHIVASHANKARAPPA,Karnataka,DAVANGERE,INC(U),"",86167,M,3,1,0,FALSE,FALSE,20.08,83351,19.42,,,1
AEKA5327,7,0,1980,VAIJNATH PATIL,Karnataka,GULBARGA,JNP,"",56422,M,2,1,0,FALSE,FALSE,18.18,7463,2.4,,,1
AEKA5413,7,0,1980,M.S. PATIL,Karnataka,RAICHUR,JNP,"",40110,M,3,1,0,FALSE,FALSE,15.09,37209,14,,,1
AEKA5806,7,0,1980,S.M. KRISHNA,Karnataka,MANDYA,INC(I),INC,223675,M,1,3,3,FALSE,FALSE,52.02,115342,26.83,,3,3
AEKA5806,5,0,1971,S. M. KRISHNA,Mysore,MANDYA,INC,PSP,272174,M,1,3,3,TRUE,TRUE,71.22,162162,42.43,,3,3
AEKA5806,4,1,1968,S.M.KRISHNA,Mysore,MANDYA,PSP,"",184054,M,1,3,3,FALSE,FALSE,59.85,63953,20.79,,3,3
AEKA6815,7,0,1980,B.L. GOWDA,Karnataka,CHITRADURGA,JNP,"",105819,M,2,1,0,FALSE,FALSE,25.3,23485,5.61,,,1
AEKA6846,7,0,1980,LAKSHMINARASIMHAIAH,Karnataka,CHIKBALLAPUR,JNP,"",87229,M,2,1,0,FALSE,FALSE,22.06,20176,5.1,,,1
AEKA6978,7,0,1980,H.N. NANJEGOWDA,Karnataka,HASSAN,INC(I),"",219969,M,1,1,1,FALSE,FALSE,49.2,94748,21.19,,1,1
AEKA7403,7,0,1980,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC(I),"",217527,M,1,1,1,FALSE,FALSE,52.29,141197,33.94,,1,1
AEKA84297,7,1,1980,C.M.STEPHEN,Karnataka,GULBARGA,INC(I),INC,150665,M,1,3,3,FALSE,FALSE,62.33,73680,30.48,,3,3
AEKA84297,6,0,1977,C. M. STEPHEN,Kerala,IDUKKI,INC,INC,228035,M,1,3,3,FALSE,TRUE,54.84,79257,19.06,,3,3
AEKA84297,5,0,1971,C. M. STEPHEN,Kerala,MUVATTPUZHA,INC,"",178244,M,1,3,3,FALSE,FALSE,55.99,38137,11.98,,3,3
AEKA8879,7,0,1980,V.S. ACHARYA,Karnataka,UDUPI,JNP,BLD,101769,M,2,2,0,TRUE,FALSE,24.03,41797,9.87,,,2
AEKA8879,6,0,1977,V. S. ACHARYA,Karnataka,UDUPI,BLD,"",121326,M,2,2,0,FALSE,FALSE,33.21,103532,28.34,,,2
AEKA9997,7,0,1980,K. LAKKAPPA,Karnataka,TUMKUR,INC(I),INC,243229,M,1,4,4,FALSE,TRUE,55.46,117061,26.69,,4,4
AEKA9997,6,0,1977,K. LAKKAPPA,Karnataka,TUMKUR,INC,INC,237086,M,1,4,4,FALSE,TRUE,57.65,66817,16.25,,4,4
AEKA9997,5,0,1971,K. LAKKAPPA,Mysore,TUMKUR,INC,PSP,240718,M,1,4,4,TRUE,TRUE,74.48,161779,50.05,,4,4
AEKA9997,4,0,1967,K. LAKKAPPA,Mysore,TUMKUR,PSP,"",115312,M,1,4,4,FALSE,FALSE,42.9,261,0.1,,4,4
AERJ1018,7,0,1980,SHISH RAM OLA,Rajasthan,JHUNJHUNU,INC(I),"",123343,M,3,1,0,FALSE,FALSE,28.7,115728,26.93,,,1
AERJ1781,7,0,1980,GORDHAN SONI,Rajasthan,NAGAUR,JNP,"",161810,M,2,1,0,FALSE,FALSE,34.84,56180,12.09,,,1
AERJ2552,7,0,1980,VIRDHI CHAND,Rajasthan,BARMER,INC(I),"",180917,M,1,1,1,FALSE,FALSE,43.72,37977,9.18,,1,1
AERJ26,7,0,1980,SUMITRA SINGH,Rajasthan,JHUNJHUNU,INC(U),"",135556,F,2,1,0,FALSE,FALSE,31.54,12213,2.84,,,1
AERJ3455,7,1,1982,K.S.KALVI,Rajasthan,UDAIPUR,JNP,"",9083,"",3,1,0,FALSE,FALSE,2.53,1259,0.35,,,1
AERJ3475,7,0,1980,LAKSHMAN SINGH,Rajasthan,CHITTORGARH,JNP(S),"",30799,M,3,1,0,FALSE,FALSE,8.44,25680,7.04,,,1
AERJ4228,7,0,1980,JAGDISH PRASAD MATHUR,Rajasthan,SIKAR,JNP,BLD,112975,M,3,2,1,TRUE,TRUE,25.38,99528,22.36,,1,2
AERJ4228,6,0,1977,JAGDISH PRASAD MATHUR,Rajasthan,SIKAR,BLD,"",256672,M,1,2,1,FALSE,FALSE,66.16,157193,40.52,,1,2
AERJ4258,7,0,1980,RAM KANWAR BAIRWA,Rajasthan,TONK,JNP,"",117356,M,2,1,0,FALSE,FALSE,34.17,56850,16.55,,,1
