pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
1010,17,0,2019,MOHAN MANDAVI,Chhattisgarh,KANKER,BJP,"",546233,M,1,1,1,FALSE,FALSE,47.12,6914,0.6,61,1,1
105,17,0,2019,MARGANI BHARAT,Andhra_Pradesh,RAJAHMUNDRY,YSRCP,"",582024,M,1,1,1,FALSE,FALSE,46.55,121634,9.73,36,1,1
1054,17,0,2019,PRAJWAL REVANNA,Karnataka,HASSAN,JD(S),"",676606,M,1,1,1,FALSE,FALSE,52.96,141324,11.06,28,1,1
1075,17,0,2019,A NARAYANASWAMY,Karnataka,CHITRADURGA,BJP,"",626195,M,1,1,1,FALSE,FALSE,50.26,80178,6.44,62,1,1
1111,17,0,2019,SUMALATHA AMBAREESH,Karnataka,MANDYA,IND,"",703660,F,1,1,1,FALSE,FALSE,50.81,125876,9.09,55,1,1
114,17,0,2019,KANUMURU RAGHU RAMA KRISHNA RAJU,Andhra_Pradesh,NARSAPURAM,YSRCP,"",447594,M,1,1,1,FALSE,FALSE,38.11,31909,2.72,57,1,1
1156,17,0,2019,V. SRINIVAS PRASAD,Karnataka,CHAMARAJANAGAR,BJP,"",568537,M,1,1,1,FALSE,FALSE,44.74,1817,0.14,71,1,1
1234,17,0,2019,TEJASVI SURYA,Karnataka,BANGALORE SOUTH,BJP,"",739229,M,1,1,1,FALSE,FALSE,62.2,331192,27.87,28,1,1
1277,17,0,2019,S. MUNISWAMY,Karnataka,KOLAR,BJP,"",709165,M,1,1,1,FALSE,FALSE,56.35,210021,16.69,44,1,1
129,17,0,2019,KOTAGIRI SRIDHAR,Andhra_Pradesh,ELURU,YSRCP,"",676809,M,1,1,1,FALSE,FALSE,50.97,165925,12.5,46,1,1
1343,17,0,2019,Hemant Patil,Maharashtra,HINGOLI,SHS,"",586312,M,1,1,1,FALSE,FALSE,50.65,277856,24,48,1,1
1373,17,0,2019,Prataprao Patil Chikhalikar,Maharashtra,NANDED,BJP,"",486806,M,1,1,1,FALSE,FALSE,43.1,40148,3.55,57,1,1
1464,17,0,2019,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Maharashtra,OSMANABAD,SHS,"",596640,M,1,1,1,FALSE,FALSE,49.52,127566,10.59,35,1,1
1484,17,0,2019,Sudhakar Tukaram Shrangare,Maharashtra,LATUR,BJP,"",661495,M,1,1,1,FALSE,FALSE,56.22,289111,24.57,57,1,1
1492,17,0,2019,SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,Maharashtra,SOLAPUR,BJP,"",524985,M,1,1,1,FALSE,FALSE,48.41,158608,14.62,63,1,1
1540,17,0,2019,ACHYUTANANDA SAMANTA,Odisha,KANDHAMAL,BJD,"",461679,M,1,1,1,FALSE,FALSE,49.01,149216,15.84,55,1,1
1547,17,0,2019,Pramila Bisoyi,Odisha,ASKA,BJD,"",552749,F,1,1,1,FALSE,FALSE,54.52,204707,20.19,70,1,1
1555,17,0,2019,Ve. VAITHILINGAM,Puducherry,PUDUCHERRY,INC,"",444981,M,1,1,1,FALSE,FALSE,56.27,197025,24.92,68,1,1
1592,17,0,2019,Dr. KALANIDHI VEERASWAMY,Tamil_Nadu,CHENNAI NORTH,DMK,"",590986,M,1,1,1,FALSE,FALSE,61.85,461518,48.3,49,1,1
1615,17,0,2019,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,Tamil_Nadu,CHENNAI SOUTH,DMK,"",564872,F,1,1,1,FALSE,FALSE,50.17,262223,23.29,56,1,1
1773,17,0,2019,DNV SENTHILKUMAR. S.,Tamil_Nadu,DHARMAPURI,DMK,"",574988,M,1,1,1,FALSE,FALSE,47.01,70753,5.78,41,1,1
1850,17,0,2019,Gautham Sigamani Pon,Tamil_Nadu,KALLAKURICHI,DMK,"",721713,M,1,1,1,FALSE,FALSE,59.92,399919,33.21,44,1,1
1866,17,0,2019,PARTHIBAN.S.R,Tamil_Nadu,SALEM,DMK,"",606302,M,1,1,1,FALSE,FALSE,48.29,146926,11.7,49,1,1
1887,17,0,2019,CHINRAJ A.K.P,Tamil_Nadu,NAMAKKAL,DMK,"",626293,M,1,1,1,FALSE,FALSE,55.24,265151,23.39,54,1,1
19,17,0,2019,GODDETI. MADHAVI,Andhra_Pradesh,ARUKU,YSRCP,"",557561,F,1,1,1,FALSE,FALSE,52.26,221398,20.75,26,1,1
190,17,0,2019,LAVU SRI KRISHNA DEVARAYALU,Andhra_Pradesh,NARASARAOPET,YSRCP,"",745089,M,1,1,1,FALSE,FALSE,51.83,153978,10.71,36,1,1
203,17,0,2019,NANDIGAM SURESH,Andhra_Pradesh,BAPATLA,YSRCP,"",598257,M,1,1,1,FALSE,FALSE,47.24,16065,1.27,43,1,1
2074,17,0,2019,"Dr.PAARIVENDHAR, T. R",Tamil_Nadu,PERAMBALUR,DMK,"",683697,M,1,1,1,FALSE,FALSE,62,403518,36.59,77,1,1
2105,17,0,2019,T. R. V .S. RAMESH,Tamil_Nadu,CUDDALORE,DMK,"",522160,M,1,1,1,FALSE,FALSE,50.05,143983,13.8,48,1,1
2140,17,0,2019,RAMALINGAM. S,Tamil_Nadu,MAYILADUTHURAI,DMK,"",599292,M,1,1,1,FALSE,FALSE,54.62,261314,23.82,74,1,1
2221,17,0,2019,VENKATESAN S,Tamil_Nadu,MADURAI,CPM,"",447075,M,1,1,1,FALSE,FALSE,44,139395,13.72,49,1,1
