pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
AEKA10092,8,0,1984,V. VENKATESH,Karnataka,KOLAR,JNP,"",239562,M,1,1,1,FALSE,FALSE,51.92,44765,9.7,,1,1
AEKA12079,8,0,1984,G. S. HEGDE AJJIBAL,Karnataka,KANARA,JNP,"",187866,M,2,1,0,FALSE,FALSE,39.82,164438,34.86,,,1
AEKA12859,8,0,1984,V. KRISHNA RAO,Karnataka,CHIKBALLAPUR,INC,"",282279,M,1,1,1,FALSE,FALSE,51.8,44314,8.13,,1,1
AEKA13130,8,0,1984,K. V. SHANKARAGOWDA,Karnataka,MANDYA,JNP,"",319176,M,1,1,1,FALSE,FALSE,58.55,120396,22.09,,1,1
AEKA13140,8,0,1984,K. P. SHANTHAMURTHY,Karnataka,MYSORE,IND,"",183144,M,2,1,0,FALSE,FALSE,40.44,177448,39.18,,,1
AEKA14325,8,0,1984,NAIKAR DYAMAPPA KALLAPPA,Karnataka,DHARWAD NORTH,INC,INC(I),229865,M,1,2,2,FALSE,TRUE,52.31,44851,10.21,,2,2
AEKA14325,7,0,1980,D.K. NAIKAR,Karnataka,DHARWAD NORTH,INC(I),"",208269,M,1,2,2,FALSE,FALSE,58.19,96694,27.01,,2,2
AEKA14747,8,1,1986,M.Y.CHORPADE,Karnataka,RAICHUR,INC,"",169696,"",1,1,1,FALSE,FALSE,45.96,5682,1.54,,1,1
AEKA14748,8,1,1986,R.A.NAIK,Karnataka,RAICHUR,JNP,"",164014,"",2,1,0,FALSE,FALSE,44.42,155310,42.06,,,1
AEKA19317,8,0,1984,P. G. R. SINDHIYA,Karnataka,KANAKAPURA,JNP,"",298184,M,2,1,0,FALSE,FALSE,46.68,280881,43.98,,,1
AEKA5806,8,0,1984,S. M. KRISHNA,Karnataka,MANDYA,INC,INC(I),198780,M,2,4,3,FALSE,TRUE,36.47,191540,35.14,,3,4
AEKA5806,7,0,1980,S.M. KRISHNA,Karnataka,MANDYA,INC(I),INC,223675,M,1,4,3,FALSE,FALSE,52.02,115342,26.83,,3,4
AEKA5806,5,0,1971,S. M. KRISHNA,Mysore,MANDYA,INC,PSP,272174,M,1,4,3,TRUE,TRUE,71.22,162162,42.43,,3,4
AEKA5806,4,1,1968,S.M.KRISHNA,Mysore,MANDYA,PSP,"",184054,M,1,4,3,FALSE,FALSE,59.85,63953,20.79,,3,4
AEKA6815,8,0,1984,B. L. GOWDA,Karnataka,CHITRADURGA,JNP,JNP,222335,M,2,2,0,FALSE,FALSE,41.66,206907,38.77,,,2
AEKA6815,7,0,1980,B.L. GOWDA,Karnataka,CHITRADURGA,JNP,"",105819,M,2,2,0,FALSE,FALSE,25.3,23485,5.61,,,2
AEKA6869,8,0,1984,Y. K. RAMAIAH,Karnataka,TUMKUR,JNP,"",234839,M,2,1,0,FALSE,FALSE,45.15,225147,43.29,,,1
AEKA6978,8,0,1984,H. N. NANJEGOWDA,Karnataka,HASSAN,INC,INC(I),265488,M,1,2,2,FALSE,TRUE,49.52,31969,5.96,,2,2
AEKA6978,7,0,1980,H.N. NANJEGOWDA,Karnataka,HASSAN,INC(I),"",219969,M,1,2,2,FALSE,FALSE,49.2,94748,21.19,,2,2
AEKA7183,8,0,1984,K. B. MALLAPPA,Karnataka,HASSAN,JNP,"",233519,M,2,1,0,FALSE,FALSE,43.56,204727,38.19,,,1
AEKA7403,8,0,1984,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC,INC(I),202506,M,1,2,2,FALSE,TRUE,42.66,35540,7.49,,2,2
AEKA7403,7,0,1980,SIDNAL SHANMUKHAPPA BASAPPA,Karnataka,BELGAUM,INC(I),"",217527,M,1,2,2,FALSE,FALSE,52.29,141197,33.94,,2,2
AEKA7855,8,0,1984,M. PAMPAPATHI,Karnataka,DAVANGERE,CPI,"",7406,M,3,1,0,FALSE,FALSE,1.38,3392,0.63,,,1
AEKA8028,8,0,1984,G. S. BASAVARAJU,Karnataka,TUMKUR,INC,"",265249,M,1,1,1,FALSE,FALSE,51,30410,5.85,,1,1
AERJ1514,8,0,1984,LALIT SINGH,Rajasthan,CHITTORGARH,JNP,"",28505,M,3,1,0,FALSE,FALSE,6.67,17402,4.07,,,1
AERJ19756,8,0,1984,GHANSHYAM TIWARI,Rajasthan,SIKAR,BJP,"",112573,M,2,1,0,FALSE,FALSE,20.22,3728,0.67,,,1
AERJ2459,8,0,1984,ALKHA RAM,Rajasthan,SALUMBER,INC,"",185000,M,1,1,1,FALSE,FALSE,52.45,79011,22.4,,1,1
AERJ2552,8,0,1984,VIRDHI CHAND,Rajasthan,BARMER,INC,INC(I),220658,M,1,2,2,FALSE,TRUE,45.32,106713,21.92,,2,2
AERJ2552,7,0,1980,VIRDHI CHAND,Rajasthan,BARMER,INC(I),"",180917,M,1,2,2,FALSE,FALSE,43.72,37977,9.18,,2,2
AERJ26,8,0,1984,SUMITRA SINGH,Rajasthan,JHUNJHUNU,LKD,INC(U),203846,F,2,2,0,TRUE,FALSE,36.88,147366,26.66,,,2
AERJ26,7,0,1980,SUMITRA SINGH,Rajasthan,JHUNJHUNU,INC(U),"",135556,F,2,2,0,FALSE,FALSE,31.54,12213,2.84,,,2
AERJ4041,8,0,1984,VIRENDRA PRATAP SINGH,Rajasthan,JHUNJHUNU,JNP,"",9871,M,4,1,0,FALSE,FALSE,1.79,5755,1.04,,,1
AERJ4372,8,0,1984,VISHVANATH KHICHI,Rajasthan,ALWAR,ICS,"",3391,M,8,1,0,FALSE,FALSE,0.82,540,0.13,,,1
AERJ470,8,0,1984,JUJHARSINGH,Rajasthan,JHALAWAR,INC,"",212489,M,1,1,1,FALSE,FALSE,54.58,69313,17.8,,1,1
AERJ569,8,0,1984,BHANU KUMAR SHASTRI,Rajasthan,UDAIPUR,BJP,JNP,159412,M,2,3,1,TRUE,FALSE,35.54,145984,32.54,,1,3
AERJ569,7,0,1980,BHANU KUMAR SHASTRI,Rajasthan,UDAIPUR,JNP,BLD,173792,M,2,3,1,TRUE,TRUE,40.45,167238,38.92,,1,3
AERJ569,6,0,1977,BHANU KUMAR SHASTRI,Rajasthan,UDAIPUR,BLD,"",240181,M,1,3,1,FALSE,FALSE,67.08,147056,41.07,,1,3
AERJ7816,8,0,1984,JIYA LAL,Rajasthan,TONK,BJP,"",128969,M,2,1,0,FALSE,FALSE,31.38,97406,23.7,,,1
AERJ8668,8,0,1984,KRISHAN KUMAR GOYAL,Rajasthan,KOTA,BJP,JNP,175528,M,2,3,2,TRUE,TRUE,40.31,168358,38.66,,2,3
AERJ8668,7,0,1980,KRISHAN KUMAR GOYAL,Rajasthan,KOTA,JNP,BLD,151128,M,1,3,2,TRUE,TRUE,43.85,6220,1.8,,2,3
AERJ8668,6,0,1977,KRISHNA KUMAR GOYAL,Rajasthan,KOTA,BLD,"",241835,M,1,3,2,FALSE,FALSE,69.92,149384,43.19,,2,3
GEAN23680,8,0,1984,MANORANJAN BHAKTA,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,INC,INC(I),47019,M,1,3,3,FALSE,TRUE,52.85,19136,21.51,,3,3
GEAN23680,7,0,1980,MANORANJAN BHAKTA,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,INC(I),INC,42046,M,1,3,3,FALSE,TRUE,53.29,26032,32.99,,3,3
GEAN23680,6,0,1977,MANORANJAN BHAKTA,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,INC,"",35400,M,1,3,3,FALSE,FALSE,58.45,10232,16.89,,3,3
GEAN30318,8,0,1984,K.KANDASWAMY,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,LKD,"",27883,M,2,1,0,FALSE,FALSE,31.34,16797,18.88,,,1
GEAN30323,8,0,1984,NILIMA DAS,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,CPM,"",11086,F,3,1,0,FALSE,FALSE,12.46,9391,10.56,,,1
GEAP100044,8,0,1984,K. RAMACHANDRA REDDY,Andhra_Pradesh,HINDUPUR,TDP,JNP,349239,M,1,3,1,TRUE,FALSE,63.14,155337,28.08,,1,3
GEAP100044,7,0,1980,K. RAMA CHANDRA REDDI,Andhra_Pradesh,HINDUPUR,JNP,BLD,93962,M,2,3,1,TRUE,FALSE,32.09,73962,25.26,,1,3
GEAP100044,6,0,1977,K. RAMACHANDRA REDDY,Andhra_Pradesh,HINDUPUR,BLD,"",146764,M,2,3,1,FALSE,FALSE,37.66,141611,36.34,,1,3
GEAP16019,8,0,1984,PENDEKANTI VENKATA SUBBAIAH,Andhra_Pradesh,NANDYAL,INC,INC(I),248157,M,2,7,5,FALSE,TRUE,45.02,245589,44.55,,5,6
GEAP16019,7,0,1980,P. VENKATA SUBBAIAH,Andhra_Pradesh,NANDYAL,INC(I),INC(I),219606,M,1,7,5,FALSE,TRUE,55.78,78378,19.91,,5,6
GEAP16019,6,0,1977,PENDAKANTI VENKATA SUBBAIAH,Andhra_Pradesh,NANDYAL,INC,INC,222404,M,2,7,5,FALSE,TRUE,45.83,217630,44.84,,5,6
GEAP16019,6,1,1978,P.V.SUBBAIAH,Andhra_Pradesh,NANDYAL,INC(I),INC,257795,M,1,7,5,FALSE,FALSE,50.82,41003,8.08,,5,6
GEAP16019,5,0,1971,RENDEKANTI VENKATA SUBBAIAH,Andhra_Pradesh,NANDYAL,INC,INC,225740,M,1,7,5,FALSE,TRUE,66.18,130456,38.25,,5,6
GEAP16019,4,0,1967,P. V.SUBBAIAH,Andhra_Pradesh,NANDYAL,INC,INC,262256,M,1,7,5,FALSE,TRUE,66.22,168825,42.63,,5,6
GEAP16019,3,0,1962,PENDEKANTI VENKATASUBBAIAH,Andhra_Pradesh,ADONI,INC,"",136513,M,1,7,5,FALSE,FALSE,56.88,33022,13.76,,5,6
GEAP17982,8,0,1984,B.RADHABAI ANANDARAO,Andhra_Pradesh,BHADRACHALAM,INC,INC(I),170978,F,2,5,4,FALSE,TRUE,43.97,152711,39.27,,4,5
GEAP17982,7,0,1980,B.RADHABAI ANANDA RAO,Andhra_Pradesh,BHADRACHALAM,INC(I),INC,147534,F,1,5,4,FALSE,TRUE,53.35,68326,24.71,,4,5
GEAP17982,6,0,1977,RADHA BAI ANANDA RAO,Andhra_Pradesh,BHADRACHALAM,INC,INC,155198,F,1,5,4,FALSE,TRUE,59.91,95968,37.04,,4,5
GEAP17982,5,0,1971,B. RADHABAI ANANDA RAO,Andhra_Pradesh,BHADRACHALAM,INC,INC,115367,F,1,5,4,FALSE,TRUE,58.54,68048,34.53,,4,5
GEAP17982,4,0,1967,B.K. RADHABAI,Andhra_Pradesh,BHADRACHALAM,INC,"",121630,F,1,5,4,FALSE,FALSE,51.96,67235,28.72,,4,5
GEAP18134,8,0,1984,N.G.RANGA,Andhra_Pradesh,GUNTUR,INC,INC(I),293589,M,1,5,3,FALSE,TRUE,49.52,11894,2.01,,3,4
GEAP18134,7,0,1980,N. G. RANGA,Andhra_Pradesh,GUNTUR,INC(I),SWA,252961,M,1,5,3,TRUE,FALSE,57.6,157336,35.83,,3,4
GEAP18134,5,0,1971,N. G. RANGA,Andhra_Pradesh,SRIKAKULAM,SWA,SWA,95710,M,2,5,3,FALSE,TRUE,28.52,88974,26.51,,3,4
GEAP18134,4,1,1967,G.RANGA,Andhra_Pradesh,SRIKAKULAM,SWA,SWA,173556,M,1,5,3,FALSE,FALSE,58.94,52644,17.88,,3,4
GEAP18134,4,0,1967,N.G. RANGA,Andhra_Pradesh,CHITTOOR,SWA,"",158931,M,2,5,3,FALSE,FALSE,46,0,0,,3,4
GEAP20322,8,0,1984,SANJEEVA RAO M.S.,Andhra_Pradesh,KAKINADA,INC,INC(I),214324,M,2,4,3,FALSE,TRUE,37.62,209960,36.85,,3,4
GEAP20322,7,0,1980,SANJEEVI RAO M.S.,Andhra_Pradesh,KAKINADA,INC(I),INC,242901,M,1,4,3,FALSE,TRUE,61.93,162977,41.55,,3,4
GEAP20322,6,0,1977,SANJEEVIRAO M. S.,Andhra_Pradesh,KAKINADA,INC,INC,269017,M,1,4,3,FALSE,TRUE,61.89,123268,28.36,,3,4
GEAP20322,5,0,1971,M. S. SANJEEVI RAO,Andhra_Pradesh,KAKINADA,INC,"",313060,M,1,4,3,FALSE,FALSE,87.47,292926,81.84,,3,4
GEAP20375,8,0,1984,VENKATA REDDY PULI,Andhra_Pradesh,ONGOLE,INC,INC(I),269519,M,2,4,3,FALSE,TRUE,47.68,265140,46.9,,3,4
GEAP20375,7,0,1980,VENKATA REDDI PULI,Andhra_Pradesh,ONGOLE,INC(I),INC,266831,M,1,4,3,FALSE,TRUE,57.19,151175,32.4,,3,4
